"Data generating values","n","ate","sd","bias"
"n = 500, SD = 1",500,49.7777162254015,2.32698399897567,-0.222283774598464
"n = 500, SD = 1",298,58.75540360317,2.96228270065052,8.75540360316998
"n = 500, SD = 1",298,59.0034241175438,2.98782237778606,9.00342411754379
"n = 500, SD = 45",500,49.5848122993168,4.90548096875457,-0.41518770068316
"n = 500, SD = 45",301,58.3798157750266,5.91721988549233,8.37981577502656
"n = 500, SD = 45",301,58.5673398047252,5.91724627852713,8.56733980472525
"n = 2000, SD = 1",2000,50.0332882397804,1.13400397765818,0.0332882397804175
"n = 2000, SD = 1",1227,58.8377691205069,1.48755295485931,8.83776912050694
"n = 2000, SD = 1",1227,59.256786918433,1.54316130222825,9.25678691843298
"n = 2000, SD = 45",2000,49.9517694714397,2.33859819219324,-0.0482305285603406
"n = 2000, SD = 45",1210,58.9454261694312,3.07901572209831,8.94542616943122
"n = 2000, SD = 45",1210,59.281451633883,3.11113427474715,9.28145163388296
