"Data generating values","n","ate","sd","bias","sd_bias"
"n = 500, SD = 1",500,49.8579570648947,3.22325974573959,-0.142042935105286,3.22325974573959
"n = 500, SD = 1",298,60.3469114230763,4.04368442489188,10.3469114230763,4.04368442489188
"n = 500, SD = 45",500,49.9525886451886,5.27770322105192,-0.0474113548113537,5.27770322105192
"n = 500, SD = 45",301,60.2875329973223,6.51283533383679,10.2875329973223,6.51283533383679
"n = 2000, SD = 1",2000,50.0791986681448,1.64101731199718,0.079198668144834,1.64101731199718
"n = 2000, SD = 1",1227,60.6244000485697,2.13665340554771,10.6244000485697,2.13665340554771
"n = 2000, SD = 45",2000,49.9499376453184,2.52158475871333,-0.0500623546815637,2.52158475871333
"n = 2000, SD = 45",1210,60.5042236363075,3.30673853723393,10.5042236363075,3.30673853723393
