"Data generating values","n","ate","sd","bias","sd_bias"
"n = 500, SD = 1",500,50.0098429229827,3.30936404165806,0.00984292298270009,3.30936404165806
"n = 500, SD = 1",301,53.7682735002551,4.20143892787643,3.7682735002551,4.20143892787643
"n = 500, SD = 45",500,50.0726684480413,5.18309223676767,0.0726684480412645,5.18309223676767
"n = 500, SD = 45",281,53.6077398308945,6.71616177050221,3.60773983089448,6.71616177050221
"n = 2000, SD = 1",2000,49.9845520999474,1.69369014610181,-0.0154479000526069,1.69369014610181
"n = 2000, SD = 1",1194,53.6336491551375,2.08760767143603,3.63364915513745,2.08760767143603
"n = 2000, SD = 45",2000,49.8093098726647,2.56763834328697,-0.190690127335338,2.56763834328697
"n = 2000, SD = 45",1187,53.5043608958404,3.29451031927359,3.50436089584036,3.29451031927359
