"Data generating values","n","ate","sd","bias","sd_bias"
"n = 500, SD = 23",500,49.9607033022097,3.90000885812047,-0.039296697790258,3.90000885812047
"n = 500, SD = 23",244,49.9775135565169,5.3622448329524,-0.0224864434831452,5.3622448329524
"n = 500, SD = 68",500,50.0837995095846,7.11276143681973,0.0837995095846241,7.11276143681973
"n = 500, SD = 68",258,49.9481357222662,10.0657951568749,-0.0518642777338218,10.0657951568749
"n = 2000, SD = 23",2000,50.0312800930162,1.9177239169447,0.03128009301617,1.9177239169447
"n = 2000, SD = 23",997,49.9957562111521,2.67255304694497,-0.00424378884786904,2.67255304694497
"n = 2000, SD = 68",2000,50.0652388304127,3.43331167198024,0.0652388304127301,3.43331167198024
"n = 2000, SD = 68",1003,50.1525056359638,4.857435286648,0.152505635963791,4.857435286648
